#TYPE Selected.System.Management.ManagementObject
"HotFixId"
"KB2849697"
"KB2849696"
"KB2841134"
"KB2841134"
"KB2670838"
"KB971033"
"KB2397190"
"KB2459268"
"KB2478662"
"KB2479943"
"KB2482122"
"KB2484033"
"KB2488113"
"KB2491683"
"KB2495523"
"KB2496898"
"KB2505438"
"KB2505454"
"KB2506014"
"KB2506212"
"KB2509553"
"KB2511455"
"KB2515325"
"KB2518869"
"KB2519922"
"KB2529825"
"KB2532531"
"KB2533552"
"KB2533623"
"KB2536275"
"KB2536276"
"KB2541014"
"KB2544893"
"KB2547666"
"KB2550648"
"KB2552343"
"KB2560656"
"KB2563227"
"KB2564958"
"KB2570947"
"KB2572077"
"KB2579686"
"KB2584146"
"KB2585542"
"KB2604115"
"KB2619339"
"KB2619497"
"KB2620704"
"KB2621440"
"KB2631813"
"KB2639308"
"KB2640148"
"KB2647753"
"KB2653956"
"KB2654428"
"KB2655992"
"KB2656356"
"KB2660075"
"KB2665720"
"KB2667402"
"KB2676562"
"KB2685811"
"KB2685939"
"KB2690533"
"KB2698365"
"KB2699779"
"KB2705219"
"KB2706045"
"KB2709630"
"KB2712808"
"KB2718704"
"KB2719857"
"KB2726535"
"KB2727528"
"KB2729094"
"KB2729452"
"KB2731771"
"KB2732059"
"KB2732487"
"KB2732500"
"KB2736422"
"KB2739159"
"KB2741355"
"KB2742599"
"KB2743555"
"KB2750841"
"KB2753842"
"KB2756921"
"KB2757638"
"KB2758857"
"KB2761217"
"KB2763523"
"KB2770660"
"KB2773072"
"KB2785220"
"KB2786081"
"KB2786400"
"KB2789645"
"KB2798162"
"KB2799926"
"KB2803821"
"KB2807986"
"KB2808679"
"KB2809215"
"KB2813347"
"KB2813430"
"KB2813956"
"KB2820331"
"KB2830290"
"KB2832414"
"KB2834140"
"KB2834886"
"KB2835361"
"KB2835364"
"KB2836502"
"KB2836942"
"KB2836943"
"KB2839894"
"KB2840149"
"KB2840631"
"KB2843630"
"KB2844286"
"KB2845187"
"KB2846960"
"KB2847077"
"KB2847311"
"KB2847927"
"KB2849470"
"KB2852386"
"KB2853952"
"KB2855844"
"KB2859537"
"KB2861191"
"KB2861698"
"KB2861855"
"KB2862152"
"KB2862330"
"KB2862335"
"KB2862966"
"KB2862973"
"KB2863240"
"KB2864058"
"KB2864202"
"KB2868038"
"KB2868116"
"KB2868623"
"KB2868626"
"KB2868725"
"KB2871997"
"KB2872339"
"KB2875783"
"KB2876284"
"KB2876331"
"KB2882822"
"KB2884256"
"KB2887069"
"KB2888049"
"KB2891804"
"KB2892074"
"KB2892678"
"KB2893294"
"KB2893519"
"KB2894844"
"KB2898857"
"KB2900986"
"KB2904266"
"KB2909210"
"KB2909921"
"KB2911501"
"KB2912390"
"KB2913431"
"KB2913602"
"KB2918614"
"KB2919469"
"KB2922229"
"KB2926765"
"KB2929437"
"KB2929733"
"KB2931356"
"KB2937610"
"KB2939576"
"KB2943357"
"KB2957189"
"KB2957503"
"KB2957509"
"KB2961072"
"KB2961851"
"KB2962872"
"KB2968294"
"KB2971850"
"KB2972100"
"KB2972211"
"KB2972280"
"KB2973112"
"KB2973201"
"KB2973351"
"KB2976627"
"KB2976897"
"KB2977292"
"KB2978120"
"KB2978668"
"KB2978742"
"KB2979570"
"KB2981580"
"KB2984972"
"KB2990214"
"KB2991963"
"KB2992611"
"KB2993651"
"KB2993958"
"KB3002885"
"KB3003057"
"KB3003743"
"KB3004361"
"KB3004375"
"KB3005607"
"KB3006226"
"KB3008923"
"KB3010788"
"KB3011780"
"KB3013126"
"KB3013455"
"KB3019215"
"KB3019978"
"KB3020369"
"KB3021674"
"KB3021952"
"KB3022777"
"KB3023215"
"KB3023562"
"KB3023607"
"KB3025390"
"KB3029944"
"KB3030377"
"KB3031432"
"KB3032323"
"KB3032359"
"KB3032655"
"KB3033889"
"KB3033890"
"KB3033929"
"KB3034196"
"KB3034344"
"KB3035126"
"KB3035131"
"KB3035132"
"KB3037574"
"KB3038314"
"KB3039066"
"KB3042553"
"KB3045171"
"KB3045685"
"KB3045999"
"KB3046002"
"KB3046049"
"KB3046269"
"KB3046306"
"KB3046482"
"KB3048070"
"KB3049563"
"KB3051768"
"KB3055642"
"KB3057154"
"KB3057839"
"KB3058515"
"KB3059317"
"KB3061518"
"KB3063858"
"KB3065822"
"KB3065979"
"KB3067505"
"KB3067903"
"KB3069392"
"KB3070102"
"KB3072630"
"KB3072633"
"KB3074886"
"KB3075516"
"KB3077657"
"KB3079904"
"KB958488"
"KB976902"
"KB982018"
