#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName"

"Construct 2 r206"
"GIMP 2.8.14"
"Microsoft Security Essentials"
"Intel(R) Network Connections 18.7.28.0"

"NI VC2008MSMs x64"
"Microsoft .NET Framework 4.5"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219"
"Intel(R) PROSet/Wireless Software for Bluetooth(R) Technology(patch version 3.0.1342.2)"
"Intel? PROSet/Wireless WiFi Software"
"Intel(R) Rapid Storage Technology"
"NI Security Update (KB 67L8LCQW) (64-bit)"
"VC_CRT_x64"
"Intel(R) Network Connections 18.7.28.0"
"Microsoft Silverlight"
"Dell Edoc Viewer"
"Microsoft .NET Framework 4.5"
"Dell Touchpad"
"LEGO MINDSTORMS NXT x64 Driver"
"Intel? Trusted Connect Service Client"
"Intel(R) PRO/Wireless Driver"
"Microsoft Security Client"
"Dell Power Manager"
"Intel(R) Rapid Storage Technology"
